trial_id,title,intervention_name,condition,phase,status,source_database
NCT06758505,Rehabilitation Strategies for Social Participation in Chronic Stroke Survivors,Strategy Training Only; Strategy Training embedded with Acceptance and Commitment Therapy Principles,Stroke; Chronic Phase of Disease,NA,RECRUITING,ClinicalTrials.gov
NCT05719805,A Study to Evaluate the Effects of Mavacamten in Healthy Participants,Mavacamten,Healthy Participants,PHASE1,COMPLETED,ClinicalTrials.gov
NCT03865394,Treatment of Chronic Wounds in Diabetic Foot Syndrome With Allogeneic Adipose Derived Mesenchymal Stem Cells,Application of allogeneic ADSC stem cells in fibrin gel; Standard care in diabetic foot ulcer,Diabetic Foot Ulcer,"PHASE1, PHASE2",COMPLETED,ClinicalTrials.gov
NCT07224256,VOICE: An Early Feasibility Study of a Precise Robotically Implanted Brain-Computer Interface for Communication Restoration,N1 Implant; R1 Robot,Tetraplegia/Tetraparesis; Quadriplegia; Cervical Spinal Cord Injury; Amyotrophic Lateral Sclerosis; Quadriplegia/Tetraplegia; Tetraplegic; Paralysis; Stroke,NA,RECRUITING,ClinicalTrials.gov
NCT04330222,Cambridge 7 Tesla Cerebral Small Vessel Disease Study,7 Tesla Magnetic Resonance Imaging; Brief Memory and Executive Test,Cerebral Small Vessel Diseases; Cerebral Small Vessel Ischemic Disease; Lacunar Stroke,Not specified,UNKNOWN,ClinicalTrials.gov
NCT01161251,Atrial Fibrillation Registry for Ankle-brachial Index Prevalence Assessment: Collaborative Italian Study.,Not specified,Atrial Fibrillation; Peripheral Vascular Disease,Not specified,COMPLETED,ClinicalTrials.gov
NCT04828902,Incidence of Postoperative Delirium After Cardiac Surgery in Adults.,cardiac surgery,Postoperative Delirium; Adult Cardiac Surgery; Covid19,Not specified,UNKNOWN,ClinicalTrials.gov
NCT06935253,Large Language Models To Improve the Quality of Care of Cardiology Patients,Large Language Model,Hypertrophic Cardiomyopathy (HCM); Cardiomyopathy; Genetic Disease; Cardiology,NA,RECRUITING,ClinicalTrials.gov
NCT05196737,DDN in Stroke--COBRE,Dry Needling,"Stroke; Spasticity, Muscle; CVA",NA,COMPLETED,ClinicalTrials.gov
NCT06397937,SDOH-Homecare Intervention Focus Team (SHIFT) Trial to Improve Stroke Outcomes,SHIFT team intervention,Stroke; Social Determinants of Health,NA,RECRUITING,ClinicalTrials.gov
NCT06620237,BIO|MASTER.CSP Study,Implantation of the Solia CSP S pacing lead for LBBAP,"Cardiac Pacing, Artificial; Cardiac Pacemaker, Artificial; Cardiac Resynchronization Therapy Devices; Bradycardia; Conduction Disorder; Conduction Defect, Cardiac; Heart Failure",NA,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT02033837,Evaluation of Cardiac CT Appropriateness at Second-generation 320-row CT,Not specified,Coronary Artery Disease; Cardiac CT,Not specified,COMPLETED,ClinicalTrials.gov
NCT02600637,Wellness Programs for Brain-Injured Individuals,MBSR; Brain Health class,Depression; Anxiety; Stroke,NA,COMPLETED,ClinicalTrials.gov
NCT00134745,Defining the Optimal Hormonal Replacement Therapy in Turner Syndrome,estradiol,Turner Syndrome,PHASE4,COMPLETED,ClinicalTrials.gov
NCT05429645,Cardiac Resynchronization Under Electroanatomical Guidance After Failure of Primary Implantation,setting up of the pace maker,Cardiac Anomaly,NA,TERMINATED,ClinicalTrials.gov
NCT00780845,AKIN Criteria: Acute Kidney Injury After On-Pump Coronary Artery Bypass Graft (CABG),Not specified,Kidney Failure,Not specified,COMPLETED,ClinicalTrials.gov
NCT06152172,CARTIMMUNE: Study of Patients With Autoimmune Diseases Receiving KYV-101,KYV-101; Cyclophosphamide; Fludarabine,Idiopathic Inflammatory Myopathies; Diffuse Cutaneous Systemic Sclerosis; SLE Nephritis; ANCA Associated Vasculitis,PHASE1,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT04802772,Construction of a Multidimensional Score for the Functional Prognosis of Cerebral Infarctions,Not specified,Cerebral Infarction,Not specified,UNKNOWN,ClinicalTrials.gov
NCT00121472,Thoratec HeartMate II Left Ventricular Assist System (LVAS) for Bridge to Cardiac Transplantation,Thoratec HeartMate II Left Ventricular Assist System (LVAS),"Heart Failure, Congestive; Ventricular Dysfunction; Cardiomyopathies",NA,COMPLETED,ClinicalTrials.gov
NCT01977495,Take Charge of Your Diabetes,Financial Incentive: Fixed Lottery,Diabetes; Hypertension,NA,COMPLETED,ClinicalTrials.gov
NCT04444895,A Study of Long-Term Safety and Efficacy of Lanadelumab for Prevention of Acute Attacks of Non-histaminergic Angioedema With Normal C1-Inhibitor,Lanadelumab,Angioedema,PHASE3,COMPLETED,ClinicalTrials.gov
NCT02682095,To Achieve Blood Pressure Control With Retained Quality of Life,Not specified,Hypertension; Patient Compliance,Not specified,TERMINATED,ClinicalTrials.gov
NCT01361139,Diagnosis of Cardio-Pulmonary Pathology Using Transthoracic Parametric Doppler (TPD),Not specified,"Lung Disease, Chronic Obstructive; Lung Disease, Interstitial; Asthma; Sarcoidosis; Hypertension, Pulmonary",Not specified,COMPLETED,ClinicalTrials.gov
NCT00950339,"Platelet Inhibitory Effect of Clopidogrel in Patients Treated With Omeprazole, Pantoprazole, or Famotidine","omeprazole, 20mg twice daily; famotidine 40mg twice daily; pantoprazole 40mg once daily",Coronary Heart Disease; GI Bleeding,PHASE4,COMPLETED,ClinicalTrials.gov
NCT06826339,"Evaluating Several Cellular, Acellular, and Matrix-like Products (CAMPs) and Standard of Care Versus Standard of Care Alone in the Management of Nonhealing Diabetic Foot and Venous Leg Ulcers.",ACApatch™; caregraFT™; Standard of Care,"Venous Leg Ulcer; Venous Leg; Diabetic Foot; Diabetic Foot Ulcer; Foot Ulcer, Diabetic; Ulcer Foot; Leg Ulcer; Ulcer Venous; Ulcer",PHASE4,RECRUITING,ClinicalTrials.gov
NCT06907277,Dexmedetomidine Enhancing the Recovery After Cardiac Surgery,Dexmedetomidine; Fentanyl; Lidocain,Post-cardiac Surgery,NA,COMPLETED,ClinicalTrials.gov
NCT00807677,A Phase 1 Dose Escalation Study of TAK-901 in Subjects With Advanced Hematologic Malignancies,TAK-901,Acute Myeloid Leukemia; Acute Lymphoblastic Leukemia; Chronic Myelogenous Leukemia; Chronic Lymphocytic Leukemia; Multiple Myeloma; Waldenstrom's Macroglobulinemia; Myelodysplastic Syndrome; Philadelphia Chromosome-negative CML; Myeloid Metaplasia; Myelofibrosis; Advanced Polycythemia; Non-Hodgkins Lymphoma,PHASE1,COMPLETED,ClinicalTrials.gov
NCT05310877,Values-Affirmation Intervention Targeting Medication Adherence in Older Adults With Heart Failure,Values-Affirmation,Heart Failure,NA,COMPLETED,ClinicalTrials.gov
NCT03314675,Assessment of Pacing Stimulus Conduction and Latency Measurements in CRT-D Patients,BIOTRONIK CRT-D,Heart Failure,NA,TERMINATED,ClinicalTrials.gov
NCT06285175,REINVENT: A Brain and Muscle Computer Interface for Stroke,Tele-REINVENT,Stroke,NA,COMPLETED,ClinicalTrials.gov
NCT04333875,Morbidity and Mortality Due to Deferral of Aortic Valve Replacement in Patients With Severe Aortic Stenosis,TAVR or SAVR,Aortic Valve Stenosis,Not specified,COMPLETED,ClinicalTrials.gov
NCT07316075,Multicenter Study on Cardiovascular and Metabolic Complications in Patients With Biochemically Silent Pheochromocytomas and Paragangliomas,Not specified,"Cardiovascular Abnormalities; Arterial Blood Pressure; Heart Rate; Congestive Heart Failure Chronic; Coronary Syndrome; Cerebrovascular Disease; Myocarditis, Pericarditis; Hyperlipidaemia; Diabete Mellitus",Not specified,ENROLLING_BY_INVITATION,ClinicalTrials.gov
NCT06675175,"A Phase 1b Study to Assess the Safety, Tolerability, and Pharmacodynamics of AZD4144 in Participants With Established Atherosclerotic Cardiovascular and Chronic Kidney Disease.",AZD4144; Placebo,Chronic Kidney Disease; Atherosclerotic Cardiovascular Disease,PHASE1,COMPLETED,ClinicalTrials.gov
NCT05268575,A Study on the Endoscopic Treatments of Hemorrhoids,performing endoscopy,Hemorrhoids,NA,UNKNOWN,ClinicalTrials.gov
NCT00512057,APEX Study: Effects of Allopurinol on Coronary and Peripheral Endothelial Function in Patients With Cardiac Syndrome X,allopurinol; placebo,Syndrome X,PHASE4,COMPLETED,ClinicalTrials.gov
NCT05388357,AI Quantitative Coronary Angiography Versus Optical Coherent Tomography Guidance for Coronary Stent Implantation,Intervention Procedure: PCI,Coronary Vessels; Procedure PCI,NA,COMPLETED,ClinicalTrials.gov
NCT07103057,VIZ ACCESS HCM - Multi-Site Registry,Viz HCM,Hypertrophic Cardiomyopathy,Not specified,RECRUITING,ClinicalTrials.gov
NCT00044057,A Study to Evaluate the Effects of YM872 on Brain Function and Disability When Administered in Combination With Alteplase (Tissue Plasminogen Activator),"YM872 (zonampanel), t-PA (alteplase)",Acute Ischemic Stroke,PHASE2,COMPLETED,ClinicalTrials.gov
